City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,ojinaga,29.5667,-104.4167,30.53,13,0,2.57,MX,1711837791
292,rameswaram,9.2833,79.3,28.49,76,51,6.95,IN,1711837791
293,sandnessjoen,66.0217,12.6316,1.29,90,100,1.45,NO,1711837791
294,susuman,62.7833,148.1667,-8.34,96,100,1.34,RU,1711837791
295,waat,51.1454,6.4958,10.95,94,75,0.0,DE,1711837791
296,naha,26.2125,127.6811,22.21,94,75,3.09,JP,1711837791
297,valley city,46.9233,-98.0032,1.29,69,100,5.14,US,1711837663
298,katsuren-haebaru,26.3369,127.8719,22.27,93,0,1.54,JP,1711837792
299,barcelos,41.5388,-8.6151,8.29,89,98,1.16,PT,1711837753
300,popondetta,-8.7537,148.2534,28.13,75,80,0.03,PG,1711837792
301,silver city,32.7701,-108.2803,19.82,19,0,10.29,US,1711837792
302,weyburn,49.6668,-103.8511,-0.88,47,9,6.69,CA,1711837535
303,broken hill,-31.95,141.4333,22.57,78,100,2.27,AU,1711837792
304,luba,3.4568,8.5547,28.43,84,29,3.5,GQ,1711837792
305,geraldton,-28.7667,114.6,16.23,94,100,4.12,AU,1711837793
306,springfield,37.2153,-93.2982,22.9,64,75,4.12,US,1711837589
307,yarmouth,41.7057,-70.2286,13.26,57,0,7.2,US,1711837793
308,loiza,18.4313,-65.8802,27.81,72,20,5.14,PR,1711837793
309,hassi messaoud,31.6804,6.0729,21.92,21,0,1.03,DZ,1711837793
310,poyang,28.9924,116.6675,19.37,97,100,6.95,CN,1711837793
311,bahir dar,11.5936,37.3908,23.14,24,88,2.48,ET,1711837793
312,swakopmund,-22.6833,14.5333,14.43,88,6,2.76,NA,1711837794
313,adjumani,3.3779,31.7909,23.4,74,83,2.34,UG,1711837794
314,sweetwater,25.7634,-80.3731,25.01,57,40,5.14,US,1711837591
315,dauphin,51.1494,-100.0502,-1.92,59,0,8.23,CA,1711837794
316,onega,63.9061,38.1404,-1.37,98,100,0.53,RU,1711837794
317,lluta,-16.0147,-72.0142,12.68,87,98,3.37,PE,1711837794
318,mandera,3.9366,41.867,30.59,50,100,8.12,KE,1711837794
319,bajos del ejido,16.95,-99.9667,27.92,46,7,3.9,MX,1711837795
320,tobelo,1.7284,128.0095,27.24,85,76,2.75,ID,1711837795
321,qamdo,31.1667,97.2333,-0.07,60,100,2.28,CN,1711837795
322,puerto colombia,10.9878,-74.9547,30.05,74,9,11.63,CO,1711837795
323,ban karon,7.8477,98.2985,26.95,79,54,2.74,TH,1711837795
324,kruisfontein,-34.0033,24.7314,18.27,87,43,2.34,ZA,1711837795
325,metlili chaamba,32.2667,3.6333,21.52,18,0,4.63,DZ,1711837795
326,mugia,43.1041,-9.2179,7.17,70,99,5.41,ES,1711837796
327,tazovsky,67.4667,78.7,-13.23,94,100,6.17,RU,1711837796
328,plock,52.5468,19.7064,14.39,61,95,4.58,PL,1711837796
329,oriximina,-1.7656,-55.8661,25.41,84,100,2.46,BR,1711837796
330,sisimiut,66.9395,-53.6735,-6.82,77,38,3.02,GL,1711837796
331,fort bragg,35.139,-79.006,25.91,20,0,6.17,US,1711837745
332,ilam,26.9167,87.9167,17.43,76,0,2.3,NP,1711837796
333,fetsund,59.929,11.1625,6.43,99,100,1.86,NO,1711837796
334,timbuktu,16.7735,-3.0074,33.25,15,98,4.65,ML,1711837797
335,lompoc,34.6391,-120.4579,14.45,72,100,5.36,US,1711837797
336,ornskoldsvik,63.2909,18.7153,0.53,100,100,1.03,SE,1711837797
337,westport,41.1415,-73.3579,15.99,29,0,6.17,US,1711837793
338,sosnovo-ozerskoye,52.5249,111.5418,-14.07,74,82,0.26,RU,1711837797
339,uberlingen,47.7667,9.1667,11.59,72,97,0.89,DE,1711837797
340,aasiaat,68.7098,-52.8699,-14.68,88,43,3.56,GL,1711837798
341,lethem,3.3803,-59.7968,31.42,53,100,1.76,GY,1711837798
342,kirakira,-10.4544,161.9205,28.98,76,83,1.37,SB,1711837798
343,greenland,43.0362,-70.8328,12.94,30,20,5.66,US,1711837798
344,akureyri,65.6835,-18.0878,-2.04,86,75,5.14,IS,1711837798
345,tan-tan,28.438,-11.1032,17.8,78,0,3.77,MA,1711837798
346,kailua-kona,19.6406,-155.9956,26.98,76,40,5.66,US,1711837619
347,agat village,13.3886,144.6585,29.09,75,20,7.2,GU,1711837799
348,concepcion,-36.827,-73.0498,19.89,45,0,4.63,CL,1711837595
349,acarau,-2.8856,-40.12,26.74,83,100,2.25,BR,1711837507
350,howrah,22.5892,88.3103,28.0,89,40,4.12,IN,1711837799
351,st. john's,47.5649,-52.7093,6.1,95,75,2.57,CA,1711837609
352,gore,-46.1028,168.9436,9.42,90,88,0.57,NZ,1711837799
353,el bauga,18.262,33.9081,22.92,15,0,5.12,SD,1711837800
354,rabaul,-4.1967,152.1721,27.71,78,29,1.43,PG,1711837800
355,cole harbour,44.6724,-63.4751,3.29,77,100,5.36,CA,1711837800
356,puerto deseado,-47.7503,-65.8938,9.77,54,58,5.13,AR,1711837801
357,nagqu,31.5,92.0,-3.07,74,97,1.35,CN,1711837801
358,fale old settlement,-9.3852,-171.2468,29.71,73,17,6.22,TK,1711837801
359,santander,43.4647,-3.8044,10.81,85,75,3.6,ES,1711837669
